CODISTAT_COMUNE_DOM,COMUNE_DOM,PROVINCIA_DOM,TOT_DOSE1,TOT_DOSE2
018171,VARZI,PAVIA,1957,1343
012041,CASSANO VALCUVIA,VARESE,301,121
016108,GANDINO,BERGAMO,2802,1419
012083,INDUNO OLONA,VARESE,5871,2719
015010,ARLUNO,MILANO,6749,2932
018018,BORGO SAN SIRO,PAVIA,496,264
014025,DAZIO,SONDRIO,275,126
017178,SERLE,BRESCIA,1523,740
019035,CREMA,CREMONA,20716,10593
013052,CASLINO D'ERBA,COMO,993,377
018100,MONTU' BECCARIA,PAVIA,911,424
012140,VIZZOLA TICINO,VARESE,263,116
018034,CASORATE PRIMO,PAVIA,4422,1681
018137,SAN MARTINO SICCOMARIO,PAVIA,3555,1777
017161,REZZATO,BRESCIA,7562,3273
016104,FORESTO SPARSO,BERGAMO,1589,662
015226,TURBIGO,MILANO,3581,1601
020030,MANTOVA,MANTOVA,26524,14026
015059,CASSANO D'ADDA,MILANO,10071,4605
018073,GODIASCO,PAVIA,1941,1173
108016,CARNATE,MONZA E DELLA BRIANZA,4320,1815
013204,SAN BARTOLOMEO VAL CAVARGNA,COMO,590,186
016110,GAVERINA TERME,BERGAMO,415,211
097058,OLGIATE MOLGORA,LECCO,3625,1639
108005,BARLASSINA,MONZA E DELLA BRIANZA,3955,1852
017206,PIANCOGNO,BRESCIA,2809,1174
017181,SONICO,BRESCIA,766,295
017122,OFFLAGA,BRESCIA,2124,956
016169,PONTERANICA,BERGAMO,3783,1993
098053,SENNA LODIGIANA,LODI,1067,417
016247,COSTA SERINA,BERGAMO,443,226
013165,OLGIATE COMASCO,COMO,6608,2903
108004,ARCORE,MONZA E DELLA BRIANZA,10258,4305
014055,RASURA,SONDRIO,165,67
