"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"098005","Borgo San Giovanni","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",2419,"e","dato stimato"
"018018","Borgo San Siro","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",914,"e","dato stimato"
"018017","Borgoratto Mormorolo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",402,"e","dato stimato"
"017021","Borgosatollo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",9021,"e","dato stimato"
"014009","Bormio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",4091,"e","dato stimato"
"018019","Bornasco","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",2643,"e","dato stimato"
"017022","Borno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",2519,"e","dato stimato"
"097009","Bosisio Parini","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",3311,"e","dato stimato"
"018020","Bosnasco","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",609,"e","dato stimato"
"016033","Bossico","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",989,"e","dato stimato"
"016034","Bottanuco","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",4997,"e","dato stimato"
"017023","Botticino","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",10568,"e","dato stimato"
"017025","Bovezzo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",7393,"e","dato stimato"
